1989,4,25,0,43,30,0
1989,4,25,0,45,30,0
1989,4,25,1,17,30,0
1989,4,25,1,18,0,0
1989,4,25,2,3,0,0
1989,4,25,2,3,30,0
1989,4,25,2,27,0,0
1989,4,25,2,30,0,0
1989,4,25,2,34,30,0
1989,4,25,2,36,30,0
1989,4,25,2,38,0,0
1989,4,25,2,38,30,0
1989,4,25,3,17,30,0
1989,4,25,3,18,0,0
1989,4,25,3,19,0,0
1989,4,25,3,19,30,0
1989,4,25,3,23,0,0
1989,4,25,3,23,30,0
1989,4,25,3,24,30,0
1989,4,25,3,25,0,0
1989,4,25,3,43,0,0
1989,4,25,3,44,0,0
1989,4,25,3,44,30,0
1989,4,25,3,46,30,0
1989,4,25,4,1,0,0
1989,4,25,4,1,30,0
1989,4,25,4,2,0,0
1989,4,25,4,2,30,0
1989,4,25,4,42,30,0
1989,4,25,4,43,0,0
1989,4,25,4,52,0,0
1989,4,25,4,54,0,0
1989,4,25,5,2,0,0
1989,4,25,5,3,30,0
1989,4,25,5,4,0,0
1989,4,25,5,6,0,0
1989,4,25,5,18,30,0
1989,4,25,5,19,0,0
1989,4,25,5,52,0,0
1989,4,25,5,53,0,0
1989,4,25,6,10,0,0
1989,4,25,6,12,30,0
1989,4,25,6,25,30,0
1989,4,25,6,27,0,0
1989,4,25,6,32,0,0
1989,4,25,6,32,30,0
1989,4,25,6,41,30,0
1989,4,25,6,44,0,0
